ts_code,trade_date,high,low,open,close,volume,amount,reason
002102.SZ,2018-06-01,4.0700,4.0700,4.0100,4.0700,0,0.0000,low > open
600313.SH,2010-02-23,7.0000,6.8000,6.9700,6.6990,976281,6736514.0000,low > close
