ts_code,trade_date,t_pre_close,t_1_close,diff_pct
000009.SZ,1993-04-12,3.6927,3.5405,0.0430
000009.SZ,1993-06-21,2.8757,2.8430,0.0115
000009.SZ,1993-07-05,2.9247,2.7940,0.0468
000009.SZ,1993-07-19,2.5816,2.5326,0.0193
000011.SZ,1992-05-04,3.8719,3.7861,0.0227
000011.SZ,1993-07-16,3.6488,3.4751,0.0500
000012.SZ,1993-05-24,1.0515,0.9942,0.0576
000012.SZ,1993-06-22,0.9079,0.9706,0.0646
000012.SZ,1993-07-05,0.9428,0.9021,0.0451
000014.SZ,1993-05-17,3.3017,3.1284,0.0554
000014.SZ,1993-07-19,2.3684,2.3423,0.0111
000016.SZ,1992-05-04,0.9498,0.9053,0.0492
000016.SZ,1992-10-05,1.2402,1.2245,0.0128
000016.SZ,1993-05-03,1.3540,1.2952,0.0454
000016.SZ,1993-06-21,1.0387,1.0276,0.0108
000016.SZ,1993-07-05,1.1129,1.0498,0.0601
000016.SZ,1993-07-19,0.9497,0.9348,0.0159
000017.SZ,1992-05-04,7.7659,7.6110,0.0204
000017.SZ,1992-10-05,10.3545,10.0890,0.0263
000017.SZ,1993-09-06,9.1633,8.7173,0.0512
000019.SZ,1993-06-28,2.5716,2.3110,0.1128
000019.SZ,1993-07-05,2.9652,2.7553,0.0762
000019.SZ,1993-07-19,2.4404,2.3879,0.0220
000020.SZ,1992-05-04,8.0146,8.2239,0.0255
000020.SZ,1993-04-26,8.0146,8.8220,0.0915
000020.SZ,1993-07-05,6.6614,6.0409,0.1027
000020.SZ,1993-07-19,5.7471,5.6165,0.0233
000029.SZ,2019-07-26,10.7360,10.5438,0.0182
000029.SZ,2019-07-29,10.5438,10.7360,0.0179
000029.SZ,2019-07-30,10.7360,10.5438,0.0182
000029.SZ,2019-08-05,10.5438,10.7360,0.0179
000065.SZ,2005-11-11,0.7952,1.1274,0.2947
000065.SZ,2007-06-06,3.4761,2.4517,0.4178
000157.SZ,2014-08-08,3.1218,3.2432,0.0374
000157.SZ,2026-01-09,8.3300,8.5300,0.0234
000408.SZ,2026-04-17,86.4400,87.9400,0.0171
000430.SZ,2025-12-29,6.8700,7.9000,0.1304
000501.SZ,1993-05-31,2.9177,2.4739,0.1794
000501.SZ,1993-06-21,2.9400,2.9066,0.0115
000501.SZ,1993-07-05,3.0959,2.8732,0.0775
000501.SZ,1993-07-19,2.6950,2.6504,0.0168
000501.SZ,1993-09-27,2.5947,2.5613,0.0130
000503.SZ,1993-06-14,1.8513,1.6234,0.1404
000503.SZ,1993-07-19,1.5944,1.5324,0.0405
