ts_code,trade_date,jump_pct,factor_change_pct,type
000936.SZ,2004-06-16,0.4475,0.8100352057926704,因子数值不匹配
000936.SZ,2010-10-11,0.4117,0.6998576144473435,因子数值不匹配
000937.SZ,2005-05-16,0.3964,0.6567171152255344,因子数值不匹配
000937.SZ,2011-05-19,0.5052,1.021057164614659,因子数值不匹配
000937.SZ,2015-06-10,0.2368,0.3102377471057421,因子数值不匹配
000937.SZ,2022-06-29,0.1125,0.12674268174230308,因子数值不匹配
000937.SZ,2023-06-30,0.1359,0.8687496103504058,因子数值不匹配
000938.SZ,2000-05-11,0.375,0.6000350000000001,因子数值不匹配
000938.SZ,2018-07-05,0.2881,0.40467583837563625,因子数值不匹配
000938.SZ,2019-05-27,0.2887,0.405862273834767,因子数值不匹配
000938.SZ,2020-08-25,0.2881,0.4046367242119335,因子数值不匹配
000948.SZ,2012-04-25,0.0984,0.10911248909131777,因子数值不匹配
000948.SZ,2019-04-15,0.2331,0.3040001321291753,因子数值不匹配
000949.SZ,2001-06-07,0.5026,1.0105360578727571,因子数值不匹配
000949.SZ,2008-04-25,0.1697,0.20440256463984968,因子数值不匹配
000949.SZ,2011-07-12,0.2366,0.3099687976496812,因子数值不匹配
000950.SZ,2008-04-23,0.2093,0.26466392016736423,因子数值不匹配
000950.SZ,2010-04-16,0.3332,0.49959930006458925,因子数值不匹配
000951.SZ,2008-06-27,0.2306,0.2997860000000001,因子数值不匹配
000951.SZ,2016-05-13,0.3831,0.6210643551817556,因子数值不匹配
000951.SZ,2021-09-29,0.2858,0.40013304213422907,因子数值不匹配
000952.SZ,2020-05-29,0.1704,0.20533620504491476,因子数值不匹配
000953.SZ,2000-04-27,0.1667,0.2001059999999999,因子数值不匹配
000953.SZ,2003-05-27,0.3384,0.5115044954683601,因子数值不匹配
000955.SZ,2006-07-17,0.2315,0.30115775512812715,因子数值不匹配
000955.SZ,2013-05-20,0.23,0.2987012806516598,因子数值不匹配
000957.SZ,2000-06-02,0.4444,0.8,因子数值不匹配
000957.SZ,2016-07-27,0.5063,1.0256410256410255,因子数值不匹配
000958.SZ,2003-06-19,0.3389,0.5126902799729618,因子数值不匹配
000958.SZ,2017-05-17,0.5023,1.0091555891382544,因子数值不匹配
000959.SZ,2005-06-23,0.1013,0.11267654339730858,因子数值不匹配
000959.SZ,2006-04-05,0.0952,0.10526331748036309,因子数值不匹配
000960.SZ,2004-10-18,0.3333,0.5000004820415422,因子数值不匹配
000960.SZ,2008-04-29,0.1689,0.20321658455895575,因子数值不匹配
000960.SZ,2010-01-27,0.1367,0.15841265370369367,因子数值不匹配
000962.SZ,2000-08-28,0.4445,0.800117,因子数值不匹配
000962.SZ,2001-09-11,0.168,0.20188587619486903,因子数值不匹配
000963.SZ,2002-07-11,0.5007,1.0026737148623952,因子数值不匹配
000963.SZ,2006-11-01,0.3,0.016752297750267233,因子数值不匹配
000963.SZ,2017-05-24,0.5072,1.029398795659221,因子数值不匹配
000963.SZ,2018-06-13,0.3398,0.5147149486462003,因子数值不匹配
000963.SZ,2019-06-21,0.1759,0.21338224746612353,因子数值不匹配
000965.SZ,2009-05-15,0.3331,0.4994981556653005,因子数值不匹配
000965.SZ,2012-05-21,0.3333,0.500000605746352,因子数值不匹配
000966.SZ,2001-06-15,0.1767,0.21465567800708726,因子数值不匹配
000966.SZ,2016-06-23,0.5093,1.037956248194516,因子数值不匹配
000967.SZ,2008-06-06,0.3333,0.5000004869359942,因子数值不匹配
000967.SZ,2013-06-28,0.1692,0.20364176065610384,因子数值不匹配
000967.SZ,2016-07-05,0.3347,0.5030590273428005,因子数值不匹配
000967.SZ,2017-06-23,0.3344,0.50238300888486,因子数值不匹配
000968.SZ,2008-05-16,0.2327,0.3032387694023887,因子数值不匹配
000969.SZ,2001-04-11,0.378,0.6077699999999999,因子数值不匹配
000969.SZ,2005-04-22,0.2466,0.32733267265895927,因子数值不匹配
000969.SZ,2006-05-30,0.0987,0.10947107144754895,因子数值不匹配
000969.SZ,2010-04-28,0.446,0.8049293469275887,因子数值不匹配
000970.SZ,2001-04-19,0.4465,0.8065990000000001,因子数值不匹配
000970.SZ,2002-04-30,0.3362,0.5064516254022059,因子数值不匹配
000970.SZ,2004-09-22,0.5045,1.0180924334772024,因子数值不匹配
000970.SZ,2013-06-03,0.503,1.0122400356790764,因子数值不匹配
000972.SZ,2007-05-28,0.4452,0.8023254369273498,因子数值不匹配
000972.SZ,2008-06-10,0.232,0.30202874358312193,因子数值不匹配
000973.SZ,2006-06-06,0.3352,0.5041326570675654,因子数值不匹配
000973.SZ,2012-06-08,0.3359,0.5058591063845315,因子数值不匹配
000975.SZ,2001-09-26,0.3749,0.5998489928718675,因子数值不匹配
000975.SZ,2004-07-08,0.4454,0.803068493548516,因子数值不匹配
000975.SZ,2008-01-24,0.3273,0.48659592822351727,因子数值不匹配
000975.SZ,2018-06-01,0.2946,0.4175532096883592,因子数值不匹配
000975.SZ,2020-09-24,0.2859,0.4003814594917403,因子数值不匹配
000977.SZ,2014-05-13,0.5007,1.0028559965266743,因子数值不匹配
000977.SZ,2015-04-27,0.5005,1.0019625727315618,因子数值不匹配
000978.SZ,2001-04-26,0.3395,0.5141150000000001,因子数值不匹配
000978.SZ,2010-05-28,0.2402,0.3161096241243676,因子数值不匹配
000980.SZ,2007-04-20,0.3336,0.5005729524761964,因子数值不匹配
000981.SZ,2011-08-26,0.1441,0.16842085899430617,因子数值不匹配
000981.SZ,2015-11-13,0.6665,1.9986791437273699,因子数值不匹配
000981.SZ,2022-02-25,0.4,0.07972685672337051,因子数值不匹配
000983.SZ,2005-05-19,0.3496,0.5374061602793788,因子数值不匹配
000983.SZ,2008-09-12,0.5014,1.0056493833172913,因子数值不匹配
000983.SZ,2010-06-02,0.2362,0.30920480784776333,因子数值不匹配
000983.SZ,2020-06-24,0.2465,0.32712749227046123,因子数值不匹配
000983.SZ,2023-06-21,0.1147,0.12958949620062782,因子数值不匹配
000983.SZ,2024-07-12,0.0801,0.8790456654623243,因子数值不匹配
000985.SZ,2006-10-16,0.1125,0.12672802391524315,因子数值不匹配
000987.SZ,2008-07-29,0.3422,0.5201307504374465,因子数值不匹配
000987.SZ,2016-06-14,0.3406,0.5164658888731755,因子数值不匹配
000987.SZ,2021-08-25,0.2748,0.3789106714782267,因子数值不匹配
000987.SZ,2022-06-23,0.2748,0.3788545014771695,因子数值不匹配
000988.SZ,2003-04-07,0.5019,1.0078018952395904,因子数值不匹配
000988.SZ,2004-04-06,0.2355,0.308068409166785,因子数值不匹配
000988.SZ,2009-09-29,0.1079,0.12091826557349333,因子数值不匹配
000988.SZ,2012-07-13,0.5052,1.021156627182378,因子数值不匹配
000989.SZ,2002-10-18,0.231,0.3004011006045575,因子数值不匹配
000989.SZ,2004-05-12,0.1846,0.22641510801220013,因子数值不匹配
000989.SZ,2008-05-29,0.1854,0.22764986707624937,因子数值不匹配
000989.SZ,2016-05-27,0.1446,0.1690752759725139,因子数值不匹配
000990.SZ,2001-04-03,0.3352,0.5042770000000001,因子数值不匹配
000990.SZ,2006-04-20,0.2785,0.38592184872001584,因子数值不匹配
000997.SZ,2004-05-26,0.5,1.0,因子数值不匹配
000997.SZ,2005-05-26,0.2396,0.3151204959607801,因子数值不匹配
000997.SZ,2006-06-06,0.2035,0.25549762950263294,因子数值不匹配
000997.SZ,2007-05-18,0.1724,0.20826279108113704,因子数值不匹配
000997.SZ,2015-06-08,0.4444,0.7999011767844262,因子数值不匹配
000998.SZ,2006-03-14,0.333,0.49930145946763466,因子数值不匹配
000998.SZ,2008-07-01,0.3769,0.6049019148605705,因子数值不匹配
000998.SZ,2012-06-12,0.3361,0.506344177880668,因子数值不匹配
000998.SZ,2014-07-30,0.5018,1.007299396633403,因子数值不匹配
000999.SZ,2003-06-11,0.2389,0.3139200263107409,因子数值不匹配
000999.SZ,2024-06-14,0.2496,0.3326064350139007,因子数值不匹配
000999.SZ,2025-06-06,0.2364,0.30950972059822884,因子数值不匹配
001201.SZ,2021-06-25,0.2975,0.4234849999999999,因子数值不匹配
001201.SZ,2022-06-02,0.171,0.2063295363140463,因子数值不匹配
001202.SZ,2025-06-18,0.2274,0.2943928394386817,因子数值不匹配
001205.SZ,2022-04-18,0.2891,0.4066209999999999,因子数值不匹配
001206.SZ,2022-09-15,0.2856,0.3997863061030555,因子数值不匹配
001206.SZ,2023-04-28,0.3022,0.433003504219822,因子数值不匹配
001207.SZ,2026-04-08,0.2976,0.4237610065951761,因子数值不匹配
001209.SZ,2022-06-23,0.2856,0.39986795125986674,因子数值不匹配
001210.SZ,2023-06-21,0.1837,0.2250450376277372,因子数值不匹配
001210.SZ,2024-06-18,0.169,0.20332564715144555,因子数值不匹配
001210.SZ,2025-06-09,0.172,0.20771561255498538,因子数值不匹配
001212.SZ,2022-06-15,0.2343,0.30595319751645733,因子数值不匹配
001212.SZ,2025-05-29,0.2844,0.3974014696409435,因子数值不匹配
001218.SZ,2022-06-06,0.3044,0.4375260000000001,因子数值不匹配
001219.SZ,2022-06-23,0.2388,0.3137160000000001,因子数值不匹配
001219.SZ,2023-06-16,0.2403,0.3162768817613547,因子数值不匹配
001219.SZ,2024-06-27,0.2456,0.32552304110422425,因子数值不匹配
001222.SZ,2023-06-27,0.2996,0.4276690000000001,因子数值不匹配
001223.SZ,2025-05-26,0.2878,0.404198123662526,因子数值不匹配
001230.SZ,2024-06-06,0.1824,0.2230878868338861,因子数值不匹配
001266.SZ,2022-07-14,0.2952,0.41888900000000007,因子数值不匹配
001269.SZ,2023-06-12,0.29,0.40841799999999995,因子数值不匹配
001270.SZ,2023-05-12,0.2878,0.40408,因子数值不匹配
001270.SZ,2024-05-07,0.2336,0.3047917497578486,因子数值不匹配
001282.SZ,2024-07-09,0.2947,0.4178710000000001,因子数值不匹配
001282.SZ,2025-06-26,0.2883,0.4051329146007366,因子数值不匹配
001288.SZ,2025-05-16,0.2918,0.4120701642007907,因子数值不匹配
001296.SZ,2022-06-24,0.241,0.31759099999999996,因子数值不匹配
001296.SZ,2024-05-30,0.2983,0.42501501036564876,因子数值不匹配
001298.SZ,2023-05-23,0.3163,0.462623,因子数值不匹配
001298.SZ,2024-05-29,0.3162,0.462365216463846,因子数值不匹配
001298.SZ,2025-05-28,0.3118,0.4530763400999306,因子数值不匹配
001298.SZ,2026-04-17,0.3118,0.45302800639259894,因子数值不匹配
001299.SZ,2025-04-29,0.2676,0.36531351963916076,因子数值不匹配
001299.SZ,2026-04-29,0.2524,0.0,缺失大额因子
001308.SZ,2022-06-01,0.2458,0.325847,因子数值不匹配
001308.SZ,2023-04-28,0.2496,0.3325768357887449,因子数值不匹配
001309.SZ,2023-07-13,0.2869,0.40240699999999996,因子数值不匹配
