ts_code,trade_date,jump_pct,factor_ratio,type
600572.SH,2024-01-02,0.0707,1.022058852006825,Mismatch (Ratio 1.0221)
600578.SH,2024-01-02,0.0545,1.0348835596422847,Mismatch (Ratio 1.0349)
600580.SH,2024-01-02,0.1784,1.0111940606446737,Mismatch (Ratio 1.0112)
600582.SH,2024-01-02,0.0876,1.0378788276502113,Mismatch (Ratio 1.0379)
600583.SH,2024-01-02,0.0608,1.016556258330246,Mismatch (Ratio 1.0166)
600585.SH,2024-01-02,0.0791,1.0596773485036202,Mismatch (Ratio 1.0597)
600587.SH,2024-01-02,0.2708,1.00432264302606,Mismatch (Ratio 1.0043)
600598.SH,2024-01-02,0.0685,1.031460664994174,Mismatch (Ratio 1.0315)
600600.SH,2024-01-02,0.0585,1.017525222757688,Mismatch (Ratio 1.0175)
600612.SH,2024-01-02,0.0716,1.0231226066930548,Mismatch (Ratio 1.0231)
600615.SH,2024-01-02,0.1674,1.0,Major Missing
600617.SH,2024-01-02,0.3125,1.0042734005496738,Mismatch (Ratio 1.0043)
600633.SH,2000-02-21,0.0506,1.0,Major Missing
600633.SH,2000-02-28,0.05,1.0,Major Missing
600633.SH,2000-03-06,0.0509,1.0,Major Missing
600633.SH,2000-03-13,0.0501,1.0,Major Missing
600633.SH,2000-03-27,0.0502,1.0,Major Missing
600633.SH,2000-04-03,0.0507,1.0,Major Missing
600633.SH,2000-04-24,0.05,1.0,Major Missing
600633.SH,2000-05-08,0.05,1.0,Major Missing
600633.SH,2000-05-15,0.0501,1.0,Major Missing
600633.SH,2000-05-22,0.0501,1.0,Major Missing
600633.SH,2000-05-29,0.05,1.0,Major Missing
600633.SH,2000-06-19,0.0508,1.0,Major Missing
600633.SH,2000-06-26,0.1692,1.0,Major Missing
600633.SH,2000-07-10,0.0504,1.0,Major Missing
600633.SH,2000-07-31,0.05,1.0,Major Missing
600633.SH,2000-10-16,0.0502,1.0,Major Missing
600633.SH,2000-11-20,0.05,1.0,Major Missing
600633.SH,2000-11-27,0.0503,1.0,Major Missing
600633.SH,2001-02-12,0.08,1.0,Major Missing
600633.SH,2001-02-19,0.1449,1.0,Major Missing
600633.SH,2001-02-26,0.2051,1.0,Major Missing
600633.SH,2001-03-12,0.0508,1.0,Major Missing
600633.SH,2001-03-19,0.0503,1.0,Major Missing
600633.SH,2001-03-26,0.0773,1.0,Major Missing
600633.SH,2001-07-02,0.0508,1.0,Major Missing
600637.SH,2024-01-02,0.0589,1.0164765183525346,Mismatch (Ratio 1.0165)
600639.SH,2024-01-02,0.0834,1.0414593329138238,Mismatch (Ratio 1.0415)
600642.SH,2024-01-02,0.0924,1.024961059798605,Mismatch (Ratio 1.0250)
600648.SH,2024-01-02,0.076,1.029438001953616,Mismatch (Ratio 1.0294)
600655.SH,2007-06-18,0.2318,1.4323618411777488,Mismatch (Ratio 1.4324)
600660.SH,2024-01-02,0.0681,1.0375039140348468,Mismatch (Ratio 1.0375)
600662.SH,2024-01-02,0.0707,49.48452,Mismatch (Ratio 49.4845)
600668.SH,2024-01-02,0.1825,1.0131463441028656,Mismatch (Ratio 1.0131)
600681.SH,2007-04-23,0.0507,0.9517884588923341,Mismatch (Ratio 0.9518)
600681.SH,2024-01-02,0.1192,1.0354610156835333,Mismatch (Ratio 1.0355)
600690.SH,2024-01-02,0.075,1.0249556669642947,Mismatch (Ratio 1.0250)
600694.SH,2024-01-02,0.2454,1.0253030533746161,Mismatch (Ratio 1.0253)
600704.SH,2024-01-02,0.0822,1.0311204260336955,Mismatch (Ratio 1.0311)
600727.SH,2007-04-30,0.0516,1.0,Major Missing
600818.SH,2001-06-04,0.0502,1.0,Major Missing
600818.SH,2001-06-11,0.0504,1.0,Major Missing
600818.SH,2001-06-18,0.0504,1.0,Major Missing
600818.SH,2001-06-25,0.0503,1.0,Major Missing
600833.SH,2000-07-10,0.05,1.0,Major Missing
600833.SH,2000-07-17,0.0508,1.0,Major Missing
600833.SH,2000-07-24,0.0514,1.0,Major Missing
600833.SH,2000-09-25,0.0508,1.0,Major Missing
600833.SH,2000-10-09,0.0502,1.0,Major Missing
600833.SH,2000-10-23,0.0506,1.0,Major Missing
600833.SH,2001-01-02,0.0507,1.0,Major Missing
600833.SH,2001-03-05,0.05,1.0,Major Missing
600833.SH,2001-03-12,0.05,1.0,Major Missing
600833.SH,2001-04-09,0.051,1.0,Major Missing
601001.SH,2025-07-31,0.052,0.42684389904212455,Mismatch (Ratio 0.4268)
601006.SH,2021-07-08,0.0724,0.5648355056855603,Mismatch (Ratio 0.5648)
601006.SH,2022-07-07,0.0724,2.0575706670104976,Mismatch (Ratio 2.0576)
601208.SH,2021-07-08,0.2329,0.5758504564243505,Mismatch (Ratio 0.5759)
601568.SH,2023-11-03,0.0565,0.8042522424563151,Mismatch (Ratio 0.8043)
601607.SH,2010-03-05,0.6945,1.0,Major Missing
601717.SH,2025-07-25,0.0629,0.3864859265526574,Mismatch (Ratio 0.3865)
601838.SH,2023-07-26,0.0567,0.8314024012564153,Mismatch (Ratio 0.8314)
601939.SH,2024-07-12,0.052,0.45253271245845184,Mismatch (Ratio 0.4525)
603027.SH,2025-10-23,0.2376,7.963667117531806,Mismatch (Ratio 7.9637)
603031.SH,2026-04-29,0.3117,1.0,Major Missing
603037.SH,2023-06-30,0.2552,0.6364177318708454,Mismatch (Ratio 0.6364)
603229.SH,2024-07-12,0.2943,0.2983266856203554,Mismatch (Ratio 0.2983)
603355.SH,2021-07-08,0.3106,1.2918284888354947,Mismatch (Ratio 1.2918)
603458.SH,2021-07-08,0.2611,0.6678588982122449,Mismatch (Ratio 0.6679)
603888.SH,2025-07-25,0.2352,0.4811802879068735,Mismatch (Ratio 0.4812)
688049.SH,2025-08-07,0.169,0.9908356820500406,Mismatch (Ratio 0.9908)
688232.SH,2021-11-18,0.0542,0,No Factor Records
688236.SH,2021-12-31,0.0539,0,No Factor Records
688259.SH,2022-01-13,0.2988,0,No Factor Records
688535.SH,2026-04-30,0.3242,1.0,Major Missing
688615.SH,2026-04-27,0.2923,1.0,Major Missing
