ts_code,trade_date,diff_pct,t_pre_close,t_1_close,factor_now,factor_prev,reason
000922.SZ,2020-05-25,0.1757,6.1000,7.4000,2.118602,1.746415,因子未变动
000925.SZ,2009-09-11,0.4999,22.5500,45.0900,2.033180,1.016815,因子未变动
000925.SZ,2018-06-21,0.2854,6.5600,9.1800,2.845212,2.033180,因子未变动
000926.SZ,2000-11-10,0.2307,17.1700,22.3200,1.311978,1.009259,因子未变动
000926.SZ,2007-05-22,0.4953,16.2500,32.2000,2.834449,1.430428,因子未变动
000926.SZ,2024-07-08,0.2888,2.3400,3.2900,4.960161,3.527896,因子未变动
000927.SZ,2002-07-29,0.1069,6.3500,7.1100,1.119685,1.000000,因子未变动
000928.SZ,2017-05-19,0.4461,9.9100,17.8900,1.875211,1.038756,因子未变动
000929.SZ,2000-06-09,0.1669,14.1800,17.0200,1.200282,1.000000,因子未变动
000929.SZ,2003-05-22,0.2854,7.5600,10.5800,1.679760,1.200282,因子未变动
000930.SZ,2002-07-12,0.4458,11.3000,20.3900,1.831836,1.015191,因子未变动
000930.SZ,2004-11-19,0.1716,6.4200,7.7500,2.211328,1.831836,因子未变动
000930.SZ,2005-12-07,0.4991,2.9000,5.7900,4.519405,2.263605,因子未变动
000932.SZ,2000-07-24,0.2046,7.2300,9.0900,1.257261,1.000000,因子未变动
000932.SZ,2019-06-13,0.2859,4.6700,6.5400,2.023932,1.445224,因子未变动
000932.SZ,2023-06-30,0.0488,4.6800,4.9200,1.000000,2.338869,因子未变动
000933.SZ,2005-09-09,0.5470,7.1800,15.8500,2.529727,1.145958,因子未变动
000933.SZ,2009-06-19,0.3379,19.6300,29.6500,3.981696,2.636111,因子未变动
000933.SZ,2010-05-26,0.2949,20.0400,28.4200,5.646696,3.981696,因子未变动
000933.SZ,2011-05-27,0.3802,14.6200,23.5900,9.111188,5.646696,因子未变动
000935.SZ,2001-05-30,0.4470,13.6800,24.7400,1.824995,1.009132,因子未变动
000936.SZ,2001-04-19,0.1697,22.2200,26.7600,1.204320,1.000000,因子未变动
000936.SZ,2004-06-16,0.4475,5.5800,10.1000,2.211787,1.221958,因子未变动
000936.SZ,2010-10-11,0.4117,7.0300,11.9500,4.116365,2.421594,因子未变动
000937.SZ,2005-05-16,0.3964,8.7100,14.4300,1.808484,1.091607,因子未变动
000937.SZ,2011-05-19,0.5052,23.2700,47.0300,4.031429,1.994713,因子未变动
000937.SZ,2015-06-10,0.2368,9.6700,12.6700,5.623923,4.292292,因子未变动
000937.SZ,2022-06-29,0.1125,7.8900,8.8900,7.619025,6.761992,因子未变动
000937.SZ,2023-06-30,0.1359,6.3600,7.3600,1.000000,7.619025,因子未变动
000938.SZ,2000-05-11,0.3750,56.5300,90.4500,1.600035,1.000000,因子未变动
000938.SZ,2018-07-05,0.2881,44.0600,61.8900,2.366522,1.684746,因子未变动
000938.SZ,2019-05-27,0.2887,26.6100,37.4100,3.327004,2.366522,因子未变动
000938.SZ,2020-08-25,0.2881,32.3500,45.4400,4.673232,3.327004,因子未变动
000948.SZ,2012-04-25,0.0984,8.3400,9.2500,1.253113,1.129834,因子未变动
000948.SZ,2019-04-15,0.2331,12.5000,16.3000,1.658014,1.271483,因子未变动
000949.SZ,2001-06-07,0.5026,9.4900,19.0800,2.035523,1.012428,因子未变动
000949.SZ,2008-04-25,0.1697,6.3600,7.6600,2.632494,2.185726,因子未变动
000949.SZ,2011-07-12,0.2366,6.4200,8.4100,3.448485,2.632494,因子未变动
000950.SZ,2008-04-23,0.2093,13.9800,17.6800,1.277327,1.010013,因子未变动
000950.SZ,2010-04-16,0.3332,12.4700,18.7000,1.947945,1.298977,因子未变动
000951.SZ,2008-06-27,0.2306,18.6800,24.2800,1.299786,1.000000,因子未变动
000951.SZ,2016-05-13,0.3831,9.2100,14.9300,2.272053,1.401581,因子未变动
000951.SZ,2021-09-29,0.2858,15.0700,21.1000,3.649717,2.606693,因子未变动
000952.SZ,2020-05-29,0.1704,8.6200,10.3900,1.228962,1.019601,因子未变动
000953.SZ,2000-04-27,0.1667,18.7900,22.5500,1.200106,1.000000,因子未变动
000953.SZ,2003-05-27,0.3384,5.6500,8.5400,2.005771,1.327003,因子未变动
000955.SZ,2006-07-17,0.2315,2.5900,3.3700,1.435285,1.103083,因子未变动
000955.SZ,2013-05-20,0.2300,3.8500,5.0000,1.868874,1.439033,因子未变动
000957.SZ,2000-06-02,0.4444,14.2500,25.6500,1.800000,1.000000,因子未变动
000957.SZ,2016-07-27,0.5063,19.5000,39.5000,3.814199,1.882959,因子未变动
000958.SZ,2003-06-19,0.3389,7.8800,11.9200,1.528451,1.010419,因子未变动
000958.SZ,2017-05-17,0.5023,9.8300,19.7500,3.164189,1.574885,因子未变动
000959.SZ,2005-06-23,0.1013,3.5500,3.9500,1.319206,1.185615,因子未变动
000959.SZ,2006-04-05,0.0952,2.8500,3.1500,1.458070,1.319206,因子未变动
000960.SZ,2004-10-18,0.3333,6.9400,10.4100,1.555883,1.037255,因子未变动
